name,#,wpm,accuracy,raw,date,consistency
ST3RN,354,208.00,97.79%,216.80,92.05%,15 Feb 2023,16:12
trolling,355,208.00,97.47%,221.60,92.38%,28 Nov 2022,15:24
ThePrfctEraser,356,208.00,96.49%,228.00,90.78%,12 Nov 2022,14:12
supreme,357,208.00,95.67%,221.60,88.32%,30 Dec 2022,08:53
ArsunAlt,358,207.98,100.00%,207.98,94.99%,01 Dec 2023,21:44
EmDevo,359,207.96,100.00%,207.96,86.24%,06 Jan 2021,00:13
maxchris,360,207.96,100.00%,207.96,94.56%,15 Nov 2020,07:47
henrysharoop,361,207.94,98.87%,212.74,91.15%,01 Dec 2020,00:34
Jasherak,362,207.94,98.52%,215.93,91.89%,24 Mar 2021,20:21
Valorance,363,207.93,98.11%,207.93,83.82%,17 Nov 2023,00:05
Jamiehappy,364,207.92,97.06%,217.52,86.51%,16 Dec 2023,01:38
CompoundMaster,365,207.88,100.00%,207.88,91.66%,10 Nov 2023,16:54
blacktype,366,207.86,100.00%,207.86,89.33%,19 Jun 2023,17:11
nolifetypist,367,207.86,100.00%,207.86,90.42%,17 May 2023,09:22
711zhang,368,207.86,100.00%,207.86,90.42%,28 Nov 2022,16:19
jisun,369,207.86,100.00%,207.86,81.92%,04 May 2022,08:53
NuIlified,370,207.86,100.00%,207.86,89.75%,16 Sep 2021,15:32
Helllllo__,371,207.86,99.26%,215.06,88.40%,11 Mar 2023,17:18
Smudge,372,207.72,100.00%,207.72,91.93%,08 Feb 2022,08:15
11pixels,373,207.20,100.00%,207.20,87.41%,19 Apr 2023,19:33
Logician,374,207.20,100.00%,207.20,91.96%,18 Mar 2023,01:00
TheHuzaifa,375,207.20,100.00%,207.20,84.68%,18 Sep 2022,08:46
noobanot,376,207.20,100.00%,207.20,91.96%,20 Aug 2022,20:01
DanUndead,377,207.20,100.00%,207.20,89.12%,24 Nov 2021,19:03
racsoskun,378,207.20,99.24%,211.20,91.00%,12 Apr 2022,02:38
gaypotyper,379,207.20,98.13%,213.60,90.33%,23 Apr 2022,18:33
Kya,380,207.20,96.32%,217.60,92.24%,06 Dec 2022,04:55
arminekya,381,207.19,100.00%,207.19,87.77%,01 Nov 2023,05:44
Mallow,382,207.15,100.00%,207.15,91.16%,13 Jan 2021,21:51
synrgy_alt,383,207.15,99.62%,207.15,87.42%,14 Oct 2023,18:25
Nalyd_VS,384,207.15,97.43%,217.55,87.45%,02 Nov 2023,21:12
HappyPappy21,385,207.14,100.00%,207.14,90.91%,19 Dec 2023,20:03
livingthepilife,386,207.14,96.40%,222.34,92.40%,01 Dec 2023,16:26
fraggy,387,207.13,100.00%,207.13,89.98%,23 Oct 2023,03:00
poke2,388,207.11,98.86%,211.11,92.02%,15 Nov 2023,11:49
dowon,389,207.06,100.00%,207.06,90.20%,05 Aug 2023,17:17
ToxoplasmaGondii,390,207.06,100.00%,207.06,91.42%,23 May 2023,09:11
felicia,391,207.06,100.00%,207.06,91.42%,28 Oct 2022,08:31
markkoo,392,206.92,97.79%,214.91,85.36%,25 Dec 2022,07:05
lin,393,206.40,100.00%,206.40,88.73%,08 Dec 2022,14:35
Guest-314,394,206.40,98.87%,212.00,88.74%,27 Apr 2023,21:22
boat,395,206.40,98.86%,210.40,90.95%,09 Jul 2023,15:41
Ledr,396,206.40,97.76%,212.80,85.28%,20 Jul 2023,06:04
Sourish17,397,206.40,96.69%,217.60,89.76%,11 Sep 2023,17:58
IronC07,398,206.39,100.00%,206.39,87.95%,05 Oct 2023,21:56
Arsun,399,206.38,94.51%,206.38,91.73%,11 Sep 2023,14:39
newstylewhoup,400,206.34,98.15%,215.94,92.69%,24 Nov 2023,17:47
newstylewhoup,400,206.34,98.15%,215.94,92.69%,24 Nov 2023,17:47
UltimateEvo,401,206.33,100.00%,206.33,92.00%,22 Jan 2021,03:32
unloved,402,206.33,98.87%,211.93,86.98%,22 Dec 2023,17:39
trplays,403,206.31,97.77%,215.11,95.70%,02 Sep 2023,12:35
derob,404,206.26,100.00%,206.26,90.23%,18 Feb 2023,00:01
mcnugget,405,206.26,99.24%,210.26,90.72%,23 Nov 2021,05:41
dindondoe,406,206.26,97.41%,215.86,86.09%,06 Dec 2022,10:36
fluffyribbon,407,206.15,100.00%,206.15,87.23%,09 Dec 2023,21:23
grunger,408,206.13,100.00%,206.13,89.34%,16 May 2023,10:30
kyeavnign,409,206.13,98.86%,210.12,92.53%,16 Jan 2023,23:25
ar_,410,206.10,96.68%,216.48,87.46%,02 Aug 2021,00:24
Itz_Catz_,411,206.06,99.23%,206.06,87.60%,01 Sep 2023,00:10
penguinobeano,412,205.60,100.00%,205.60,90.03%,09 May 2023,20:23
duhby,413,205.60,100.00%,205.60,93.31%,05 May 2023,15:11
AureusWasTaken,414,205.60,100.00%,205.60,90.50%,22 Apr 2023,21:08
Dogger,415,205.60,100.00%,205.60,92.97%,12 Feb 2023,19:32
heliuwus,416,205.60,100.00%,205.60,85.57%,06 Feb 2023,17:14
Slugy,417,205.60,100.00%,205.60,93.65%,19 Jul 2022,11:40
bushswift,418,205.60,100.00%,205.60,92.66%,28 May 2022,02:31
Events,419,205.60,100.00%,205.60,84.80%,26 Oct 2020,15:04
onion_,420,205.60,99.24%,209.60,92.80%,05 Jul 2023,16:25
soyourken,421,205.60,99.23%,208.80,90.66%,10 Sep 2022,04:31
Psyduck,422,205.60,98.50%,211.20,82.35%,12 Feb 2023,16:10
dedication,423,205.60,98.11%,211.20,90.09%,24 Sep 2023,02:54
danielhuang,424,205.60,97.79%,217.60,93.36%,21 Aug 2021,19:45
Filth001,425,205.60,97.42%,216.80,93.16%,25 Nov 2022,03:41
wilson2444,426,205.60,95.90%,205.60,86.62%,05 May 2023,19:34
torterra,427,205.58,100.00%,205.58,88.35%,15 Nov 2023,15:57
yESssS_colemak,428,205.58,99.23%,205.58,85.46%,21 Oct 2023,05:36
_DerKaiser_,429,205.56,100.00%,205.56,91.51%,21 Apr 2021,12:27
gracefrfr,430,205.55,100.00%,205.55,92.06%,19 Jan 2021,21:48
AlwaysThinking,431,205.55,99.62%,208.75,90.66%,20 Dec 2023,14:36
AtomicRyan,432,205.55,95.29%,219.95,88.63%,18 Dec 2023,16:08
sudssssss,433,205.54,100.00%,205.54,89.59%,18 Dec 2023,12:22
kygx,434,205.53,100.00%,205.53,92.97%,01 Dec 2020,20:42
Piemanray314,435,205.53,97.36%,211.93,90.38%,22 Sep 2023,11:17
GalaxyBiscuit,436,205.51,99.24%,209.51,88.39%,09 Nov 2023,05:00
jinyu,437,205.50,100.00%,205.50,92.66%,28 Oct 2023,22:22
tazb,438,205.48,98.86%,211.08,91.75%,03 Sep 2023,17:48
Ginga271,439,205.46,100.00%,205.46,90.74%,14 Jun 2023,09:11
Grusfanatiker,440,205.46,100.00%,205.46,88.75%,04 May 2023,10:04
Samitooo,441,205.46,100.00%,205.46,92.36%,27 Jan 2023,20:03
Alessio,442,205.46,99.62%,209.46,84.66%,05 Oct 2022,12:05
alex_cfh,443,205.46,98.85%,208.66,89.76%,26 Jul 2023,07:09
onair,444,205.46,98.49%,211.06,84.86%,12 Sep 2023,07:09
raf,445,205.46,95.73%,224.65,88.23%,28 Mar 2022,17:11
Security,446,205.19,98.11%,209.98,83.12%,10 Jan 2022,11:50
abdulah,447,204.80,100.00%,204.80,89.64%,28 Jan 2023,10:45
balled,448,204.80,100.00%,204.80,91.32%,30 May 2022,22:52
pallings,449,204.80,98.47%,209.60,86.15%,22 Oct 2023,20:52
Waseem-AL-TAMER,450,204.80,97.39%,214.40,91.36%,30 May 2023,09:51
Waseem-AL-TAMER,450,204.80,97.39%,214.40,91.36%,30 May 2023,09:51
Nagromancer,451,204.80,97.06%,217.60,91.98%,14 Aug 2022,09:02
pearce,452,204.80,97.01%,214.40,90.89%,04 Nov 2022,22:00
eyedin,453,204.79,100.00%,204.79,92.45%,16 Apr 2021,18:38
AtomicRyan2,454,204.78,98.85%,208.78,92.49%,02 Oct 2023,13:48
Decone,455,204.78,98.11%,211.16,91.07%,17 Jan 2023,16:09
fopdoodle,456,204.75,100.00%,204.75,90.81%,28 Nov 2023,21:16
hitman112,457,204.75,100.00%,204.75,89.64%,29 Sep 2023,20:10
Wangdom,458,204.75,98.11%,209.55,86.43%,19 Nov 2023,02:04
accongero,459,204.73,98.85%,207.92,93.45%,31 Mar 2021,23:55
alexxual,460,204.71,100.00%,204.71,89.64%,07 Aug 2021,03:55
mrotaku,461,204.69,100.00%,204.69,91.86%,02 Jul 2021,23:43
rishh_,462,204.68,97.06%,217.48,91.49%,15 Dec 2023,05:54
soword,463,204.66,100.00%,204.66,89.64%,26 Jul 2023,19:35
kyrothehero,464,204.66,100.00%,204.66,93.08%,06 Nov 2022,13:21
m4nqo,465,204.66,100.00%,204.66,89.20%,25 Aug 2022,15:56
weakeyes,466,204.66,100.00%,204.66,91.59%,25 Apr 2022,15:11
tanami,467,204.66,100.00%,204.66,87.08%,05 Sep 2021,22:35
Shapirito,468,204.66,99.24%,209.46,88.20%,28 Feb 2023,13:40
clabs,469,204.66,98.85%,209.46,90.00%,06 Apr 2023,11:29
sephyonlaptop,470,204.66,98.47%,209.46,93.43%,24 Nov 2022,05:10
TurboTypist,471,204.66,95.88%,204.66,91.64%,03 Jun 2022,01:01
ryan_c,472,204.61,100.00%,204.61,91.59%,25 Oct 2023,01:53
kweg,473,204.59,98.85%,208.58,89.34%,26 Mar 2021,21:50
Hxlo,474,204.44,97.73%,210.83,92.87%,12 Nov 2023,01:42
zhaneul,475,204.00,100.00%,204.00,89.48%,02 Jun 2023,20:02
yoji_,476,204.00,100.00%,204.00,91.14%,11 Jan 2023,05:25
AlexChew_,477,204.00,100.00%,204.00,93.21%,14 Oct 2022,12:19
momo-mao,478,204.00,100.00%,204.00,89.93%,26 Aug 2022,23:20
anntaylor,479,204.00,100.00%,204.00,91.68%,28 Nov 2021,00:39
zsiegel,480,204.00,99.61%,205.60,93.31%,29 Jan 2023,12:36
PhaseRush,481,204.00,99.61%,204.80,90.81%,17 Sep 2022,07:03
pdt_cubing,482,204.00,99.22%,204.00,87.60%,20 Aug 2021,06:38
VJsong02,483,204.00,98.10%,210.40,90.49%,15 Apr 2023,18:03
Fametime,484,204.00,97.73%,211.20,89.26%,09 Feb 2023,17:35
Yhu,485,204.00,97.73%,211.20,89.46%,30 Apr 2022,21:14
ryantypesfast,486,203.99,96.67%,215.99,86.24%,23 Apr 2021,18:46
UniverseXL,487,203.98,100.00%,203.98,86.08%,20 Sep 2023,14:43
Rishal,488,203.98,97.74%,211.98,89.33%,06 Oct 2023,13:57
Iaser,489,203.97,100.00%,203.97,90.89%,12 Sep 2023,20:50
Osteogenesis,490,203.96,96.68%,216.76,91.08%,15 Oct 2023,17:02
soupforinfants,491,203.95,100.00%,203.95,92.88%,26 Oct 2023,14:39
Fqshie,492,203.95,100.00%,203.95,92.56%,17 Oct 2023,16:13
Potrainer21,493,203.95,100.00%,203.95,90.89%,09 Oct 2023,12:54
essmann,494,203.95,96.28%,215.14,88.95%,14 Nov 2020,19:14
Chunkerchunk,495,203.92,99.61%,203.92,81.79%,20 Nov 2023,03:20
Adryn,496,203.89,99.62%,207.89,89.12%,11 Sep 2023,23:11
Darkn,497,203.89,99.22%,203.89,88.16%,17 Oct 2023,19:34
twistchip,498,203.86,98.10%,210.26,87.35%,05 May 2023,16:01
glaukko,499,203.85,98.84%,207.05,88.33%,20 Dec 2023,19:24
looke,500,203.73,96.01%,220.51,91.63%,17 Feb 2023,18:37
looke,500,203.73,96.01%,220.51,91.63%,17 Feb 2023,18:37
TlkngBenNotFunny,501,203.59,98.13%,213.17,89.50%,27 Oct 2022,13:46
kingalex242,502,203.20,100.00%,203.20,90.01%,13 Sep 2022,14:15
FSCraze,503,203.20,100.00%,203.20,90.73%,24 Jun 2022,05:56
fbkoyu,504,203.20,100.00%,203.20,91.52%,30 Dec 2021,03:35
StephenLeou,505,203.20,99.61%,203.20,89.70%,30 Mar 2023,19:32
vituhmins,506,203.20,99.22%,206.40,83.67%,08 Nov 2022,12:12
luwunar,507,203.20,97.76%,214.40,88.28%,22 Jul 2023,17:58
KvejkKoffe,508,203.20,97.45%,219.20,92.40%,04 Mar 2023,18:33
violinfingers,509,203.20,97.41%,216.00,90.49%,08 Feb 2023,21:10
Cozcozmusix,510,203.20,97.38%,210.40,77.60%,08 May 2022,03:52
DreamingLlama,511,203.20,96.65%,211.20,76.83%,14 Jul 2022,10:56
baramoo,512,203.19,98.83%,203.19,85.41%,18 Sep 2023,16:42
sig,513,203.17,100.00%,203.17,92.09%,28 Oct 2023,21:13
Former,514,203.14,100.00%,203.14,92.39%,08 Dec 2023,09:40
corsairchris,515,203.14,100.00%,203.14,88.49%,08 Aug 2023,03:05
Sarym,516,203.13,97.74%,212.73,90.46%,09 Sep 2023,12:45
ImNotSoFast,517,203.12,97.74%,212.72,87.23%,28 Jul 2021,18:01
sondrekje,518,203.11,97.69%,207.91,86.40%,29 Jun 2021,13:43
213587x,519,203.08,97.70%,208.67,70.12%,26 Jul 2021,01:20
shugop,520,203.06,100.00%,203.06,91.25%,24 Jun 2023,08:23
leefhson,521,203.06,100.00%,203.06,92.39%,22 Apr 2023,17:26
AdrynAlt,522,203.06,100.00%,203.06,88.91%,21 Jan 2023,04:42
vel4444,523,203.06,100.00%,203.06,92.09%,21 Oct 2022,05:09
SkittlesTyper,524,203.06,100.00%,203.06,89.55%,26 Feb 2022,13:10
Frostfireee,525,203.06,100.00%,203.06,91.25%,06 Oct 2021,19:27
Traben,526,203.06,100.00%,203.06,91.25%,18 Sep 2021,19:22
fUSAO,527,203.06,100.00%,203.06,92.09%,11 Sep 2021,22:56
Boomergaming,528,203.06,98.84%,206.26,88.33%,23 Jun 2023,11:28
axeltanumi,529,203.06,98.84%,207.06,88.52%,22 Nov 2022,10:31
Guga688,530,203.06,97.75%,213.46,92.55%,11 Sep 2022,22:11
haqq,531,203.06,97.39%,214.25,88.46%,09 Nov 2023,12:29
oliward,532,203.03,99.61%,205.43,92.97%,16 Jul 2021,20:55
Afzofa,533,203.02,100.00%,203.02,94.11%,09 Oct 2023,07:46
pumpkinsoup1,534,202.93,100.00%,202.93,90.73%,04 Jun 2023,22:13
typerman1792,535,202.79,100.00%,202.79,92.09%,26 Oct 2022,14:48
idol,536,202.40,100.00%,202.40,93.93%,20 Jun 2023,18:30
el_racista,537,202.40,100.00%,202.40,88.57%,04 Apr 2023,11:15
Wacky_142,538,202.40,100.00%,202.40,91.65%,02 Dec 2022,20:13
diyawn,539,202.40,100.00%,202.40,91.94%,19 Nov 2022,11:26
tlonelyg,540,202.40,100.00%,202.40,89.65%,12 Sep 2022,19:53
DanTheGamer,541,202.40,100.00%,202.40,90.60%,03 Sep 2022,11:13
a_guy,542,202.40,100.00%,202.40,80.90%,28 Apr 2022,08:51
choobies,543,202.40,100.00%,202.40,88.99%,28 Sep 2021,22:13
wumpy,544,202.40,99.61%,202.40,86.80%,13 Sep 2022,13:32
jywh,545,202.40,98.84%,206.40,87.58%,02 Jan 2023,06:08
tnny,546,202.40,98.47%,209.60,91.41%,11 Jun 2023,09:43
DenverTheNinja,547,202.40,98.06%,202.40,86.71%,14 Mar 2023,15:49
Savaroni,548,202.40,97.74%,212.80,91.64%,27 Jun 2023,19:04
milkpowder,549,202.40,97.74%,212.80,91.90%,23 Jul 2022,04:14
channyy,550,202.39,99.61%,205.59,92.36%,22 Sep 2023,01:35
channyy,550,202.39,99.61%,205.59,92.36%,22 Sep 2023,01:35
haqinian,551,202.39,99.22%,205.59,91.25%,19 Dec 2023,13:03
SussyWalt,552,202.38,100.00%,202.38,88.57%,30 Nov 2023,01:21
Keebz,553,202.37,100.00%,202.37,91.11%,05 Nov 2023,19:42
Dankxiety,554,202.37,99.61%,202.37,88.70%,31 Jul 2023,23:38
REALThatGuy176,555,202.36,100.00%,202.36,92.86%,24 Aug 2023,13:22
Blastbolt,556,202.36,98.85%,207.96,89.97%,04 Nov 2023,22:10
skanide,557,202.35,100.00%,202.35,90.60%,02 Nov 2023,15:23
Raze955,558,202.35,100.00%,202.35,91.65%,19 Oct 2023,12:34
rejatkr,559,202.35,100.00%,202.35,87.03%,28 Sep 2023,11:39
Axisys,560,202.29,98.83%,204.69,91.59%,17 Nov 2023,07:12
Talmazan,561,202.27,100.00%,202.27,90.11%,15 Nov 2022,13:17
sir_aaron,562,202.27,100.00%,202.27,89.42%,08 Nov 2022,13:56
V1Time,563,202.27,100.00%,202.27,92.23%,30 Oct 2022,13:01
moodbaby,564,202.27,100.00%,202.27,92.54%,27 Sep 2022,19:30
mauvecherry,565,202.27,100.00%,202.27,91.11%,22 Sep 2022,08:58
jordan2380,566,202.27,100.00%,202.27,86.68%,24 Nov 2021,04:49
andrewz,567,202.27,99.22%,205.46,90.03%,30 Aug 2021,00:26
MorrisL,568,202.27,97.78%,215.86,91.39%,12 Jul 2022,06:22
praeylon,569,202.27,97.71%,209.46,91.67%,09 Mar 2023,16:51
Jhineric,570,202.15,100.00%,202.15,93.20%,12 Aug 2023,00:40
OsungaNephilim,571,202.13,97.34%,210.12,86.69%,28 Dec 2021,20:32
Galactive_x,572,201.86,100.00%,201.86,88.78%,27 Oct 2023,09:57
xIgneous,573,201.60,100.00%,201.60,89.99%,22 Jun 2023,22:16
Prometheron,574,201.60,100.00%,201.60,89.99%,12 Jun 2023,13:51
iceteA19,575,201.60,100.00%,201.60,91.81%,17 Feb 2023,03:33
zuuu,576,201.60,100.00%,201.60,85.55%,19 Jan 2023,21:38
ASpaceSophie,577,201.60,100.00%,201.60,92.10%,25 Feb 2021,12:17
sevendreams,578,201.60,99.22%,204.00,87.66%,01 Jun 2023,22:05
vegbiriani,579,201.60,98.85%,208.00,93.12%,15 Sep 2022,20:35
japoustik,580,201.60,98.83%,205.60,88.35%,30 Jun 2022,18:04
nate278,581,201.60,97.67%,206.40,88.93%,29 Dec 2022,23:48
Archaeic,582,201.60,94.95%,221.60,87.52%,21 Aug 2022,07:14
wazoo,583,201.59,98.84%,207.19,86.55%,09 Jun 2021,00:48
Zombie2,584,201.55,100.00%,201.55,91.81%,03 Jul 2021,03:56
tynot,585,201.55,98.06%,206.35,94.30%,30 Nov 2023,18:30
spicytunaroll,586,201.54,100.00%,201.54,90.73%,10 Aug 2023,15:35
Mahemn,587,201.54,98.46%,206.34,80.68%,12 Sep 2023,13:47
razahai,588,201.52,97.72%,210.32,90.72%,12 Dec 2023,09:25
Rekt_911,589,201.51,99.60%,201.51,87.59%,21 Nov 2023,15:41
luisinluisao,590,201.50,98.45%,206.30,87.23%,29 Nov 2020,17:45
esmoore,591,201.49,100.00%,201.49,94.17%,14 Aug 2023,08:45
casual,592,201.49,95.88%,213.49,93.45%,15 Oct 2023,21:50
evanwin,593,201.48,100.00%,201.48,85.23%,25 Aug 2023,13:27
fortlegend,594,201.47,100.00%,201.47,90.48%,08 May 2023,12:54
Demi,595,201.47,100.00%,201.47,92.73%,12 Mar 2023,18:23
koolkid,596,201.47,100.00%,201.47,92.41%,02 Jan 2023,18:35
Keeguhn,597,201.47,100.00%,201.47,90.23%,20 Nov 2021,08:29
odew,598,201.47,98.47%,209.46,92.50%,26 Nov 2022,23:52
bRuHted,599,201.47,98.47%,208.66,87.62%,04 Jan 2022,23:04
aqua_desu,600,201.47,89.42%,420.69,91.32%,02 Jan 2022,09:42
aqua_desu,600,201.47,89.42%,420.69,91.32%,02 Jan 2022,09:42
crispysix,601,201.42,100.00%,201.42,91.81%,12 Dec 2023,19:15
Eperou,602,201.41,99.60%,201.41,83.96%,13 Dec 2023,14:03
fluzx,603,201.35,100.00%,201.35,89.99%,14 Aug 2023,02:56
zd.7,604,201.35,98.84%,206.15,88.33%,04 Oct 2023,10:33
Darrio-G,605,200.80,100.00%,200.80,90.88%,02 Jul 2023,09:00
vidraz,606,200.80,100.00%,200.80,89.43%,25 May 2023,17:19
TangerineMT,607,200.80,100.00%,200.80,91.99%,11 Feb 2023,21:53
eldad,608,200.80,100.00%,200.80,91.99%,31 Dec 2022,06:07
xyzrr,609,200.80,100.00%,200.80,91.99%,03 Nov 2022,21:45
calvinleng,610,200.80,100.00%,200.80,95.39%,10 Oct 2022,05:24
Alenygam,611,200.80,100.00%,200.80,94.04%,15 Jun 2022,12:29
Toady,612,200.80,99.61%,203.20,88.91%,15 Jan 2022,02:59
ineedcoffee,613,200.80,99.22%,204.00,93.21%,13 Sep 2022,18:14
ls_muffin,614,200.80,99.21%,202.40,87.59%,17 Apr 2023,13:28
nitro2029,615,200.80,99.21%,200.80,85.50%,25 Nov 2022,16:38
Hixe,616,200.80,98.83%,205.60,90.99%,27 May 2023,07:08
Sheaf,617,200.80,98.44%,204.00,84.21%,28 Feb 2023,21:35
soggybigbooty,618,200.80,97.73%,211.20,92.87%,09 Oct 2022,19:29
Obskurrel,619,200.80,96.96%,210.40,89.61%,23 Jun 2022,10:06
frute,620,200.78,98.44%,204.78,90.81%,27 Aug 2023,02:03
bewc,621,200.76,100.00%,200.76,91.14%,15 Dec 2023,00:14
mgali,622,200.76,100.00%,200.76,90.37%,02 Oct 2023,12:20
SupraMC2,623,200.76,98.82%,203.96,89.48%,19 Mar 2021,17:07
nullchilly,624,200.73,100.00%,200.73,90.13%,21 Oct 2023,08:55
ItzChad,625,200.72,98.11%,211.12,94.21%,15 Aug 2023,21:10
Joshuawh,626,200.67,100.00%,200.67,90.88%,09 Jul 2023,11:44
epsile,627,200.67,100.00%,200.67,90.62%,11 Jun 2023,18:22
The_Baron,628,200.67,100.00%,200.67,91.70%,31 May 2023,20:08
hsuna,629,200.67,100.00%,200.67,89.43%,07 May 2023,16:39
jacakira,630,200.67,100.00%,200.67,88.15%,20 Sep 2022,01:03
jasonverycool,631,200.67,100.00%,200.67,88.99%,01 Jul 2022,00:38
Fizzman,632,200.67,99.21%,203.06,90.24%,06 Mar 2022,19:15
Yeyeyeyeyeyeyeye,633,200.67,98.83%,204.66,87.44%,17 Mar 2022,00:43
gallus,634,200.67,96.60%,211.86,89.13%,06 May 2023,23:21
arhamsterr,635,200.64,99.61%,203.84,84.07%,15 Dec 2023,15:03
Choombustion,636,200.53,100.00%,200.53,84.65%,26 Jun 2023,11:22
Shwerty,637,200.53,100.00%,200.53,85.78%,07 Mar 2023,12:23
Wae,638,200.53,100.00%,200.53,91.14%,15 Nov 2022,20:44
jjcheung24,639,200.53,97.69%,207.72,91.40%,20 Nov 2021,09:16
vskk,640,200.40,98.06%,205.99,91.72%,23 Jul 2022,15:52
FabianKX,641,200.00,100.00%,200.00,92.52%,16 Nov 2023,09:13
miltox,642,200.00,100.00%,200.00,93.19%,29 Jun 2023,23:56
tanon710,643,200.00,100.00%,200.00,91.61%,14 May 2023,07:35
Otrebus,644,200.00,100.00%,200.00,88.48%,25 Apr 2023,13:36
Asura_YT,645,200.00,100.00%,200.00,90.04%,21 Nov 2022,19:10
pinkjacket,646,200.00,100.00%,200.00,91.61%,02 Nov 2022,18:39
bulletshimeji,647,200.00,100.00%,200.00,94.78%,29 Oct 2022,20:40
ClemenPine,648,200.00,100.00%,200.00,91.33%,03 Sep 2022,19:09
Idono,649,200.00,100.00%,200.00,88.48%,09 Aug 2022,22:00
drrqwerty,650,200.00,99.60%,200.00,87.38%,07 Jun 2023,05:39
drrqwerty,650,200.00,99.60%,200.00,87.38%,07 Jun 2023,05:39
StefanD,651,200.00,99.21%,203.20,88.91%,31 Oct 2022,06:32
Runguy21,652,200.00,99.21%,200.00,-,30 Dec 2020,05:10
Concuss,653,200.00,98.82%,204.00,88.24%,29 Nov 2021,19:33
11fdriver,654,200.00,98.44%,204.00,88.58%,29 Jul 2022,11:45
principle,655,200.00,98.08%,208.80,91.15%,01 Mar 2023,12:55
Sappy.,656,200.00,97.71%,209.60,85.54%,23 Mar 2023,00:53
banmkh6,657,200.00,95.85%,204.00,51.41%,20 Mar 2023,12:27
stephenclark,658,199.99,100.00%,199.99,92.52%,24 Oct 2023,14:58
audreywang,659,199.97,100.00%,199.97,92.52%,25 Nov 2023,13:18
bwbingyi,660,199.96,100.00%,199.96,93.55%,31 Oct 2023,15:36
iiicetea,661,199.96,100.00%,199.96,92.20%,31 Aug 2023,08:13
bruh6969,662,199.95,100.00%,199.95,85.69%,16 Dec 2023,04:51
SingleMom,663,199.95,99.22%,204.75,90.81%,18 Oct 2023,18:38
MARCCCXXV,664,199.95,98.05%,205.55,85.88%,26 Mar 2021,16:14
Shqrky,665,199.95,97.68%,207.15,88.52%,22 Nov 2023,08:24
DESTROYERMANZ,666,199.94,100.00%,199.94,93.55%,10 Sep 2023,18:31
Idimoku,667,199.94,100.00%,199.94,94.78%,21 Jan 2021,11:19
fatweeb,668,199.94,100.00%,199.94,91.90%,08 Jan 2021,13:36
GreenPear411,669,199.91,100.00%,199.91,86.03%,23 Nov 2023,22:54
balldog,670,199.91,98.43%,199.91,90.99%,15 Dec 2023,19:19
bimbombozo,671,199.89,100.00%,199.89,90.53%,05 Dec 2023,17:43
DerekHan,672,199.88,100.00%,199.88,88.48%,16 Feb 2021,02:48
bumbleben0,673,199.87,100.00%,199.87,93.19%,19 Mar 2023,12:10
stxrkiissed,674,199.87,100.00%,199.87,92.52%,12 Feb 2023,22:35
tapioca,675,199.87,100.00%,199.87,86.73%,08 Oct 2022,10:37
meu,676,199.87,100.00%,199.87,86.38%,18 Sep 2022,21:34
nagro,677,199.87,100.00%,199.87,92.52%,16 Feb 2021,09:07
gverthveyn,678,199.87,98.83%,205.46,94.02%,16 Dec 2022,12:35
SoggehToast,679,199.87,98.83%,204.66,92.45%,17 Nov 2022,23:19
kiyeo,680,199.87,98.82%,203.86,90.64%,05 Dec 2022,22:17
BENEDICTION,681,199.87,98.04%,203.86,89.70%,10 Dec 2021,11:07
Dany,682,199.87,96.93%,203.86,2.78%,22 Oct 2020,16:42
Gadd24,683,199.87,96.65%,215.06,91.25%,26 Jul 2023,07:59
d5vis,684,199.87,95.85%,211.86,91.82%,24 Jan 2023,02:19
NiEid,685,199.86,100.00%,199.86,91.61%,06 Nov 2023,09:50
e_g.,686,199.84,98.83%,205.44,90.03%,09 Nov 2023,09:45
unfazed,687,199.77,100.00%,199.77,91.61%,18 Nov 2023,11:37
alpha800,688,199.73,98.83%,204.53,90.56%,03 Dec 2022,22:32
zarif,689,199.47,100.00%,199.47,87.10%,06 Dec 2022,08:57
fehlercode03,690,199.20,100.00%,199.20,87.60%,21 Aug 2023,05:53
TheBigGay,691,199.20,100.00%,199.20,89.50%,27 May 2023,15:35
StylesX,692,199.20,100.00%,199.20,92.44%,29 Apr 2023,21:19
watersfinethanks,693,199.20,100.00%,199.20,87.40%,25 Apr 2023,02:27
Clex,694,199.20,100.00%,199.20,89.27%,07 Apr 2023,21:20
NotLegend,695,199.20,100.00%,199.20,92.13%,04 Feb 2023,10:48
monke0192,696,199.20,100.00%,199.20,89.73%,11 Jan 2023,02:55
zoggers,697,199.20,99.60%,199.20,78.91%,18 Apr 2022,22:18
KiwiKang,698,199.20,98.83%,204.80,91.32%,19 Jul 2022,19:43
gayforalexjones,699,199.20,98.82%,204.00,90.16%,27 Jul 2023,13:58
adriankkim,700,199.20,98.44%,204.80,90.32%,20 Jun 2023,04:14
adriankkim,700,199.20,98.44%,204.80,90.32%,20 Jun 2023,04:14
Eagles,701,199.20,97.71%,209.60,89.37%,30 Apr 2022,22:47
dark_knightMc,702,199.20,96.91%,204.80,63.97%,28 Jul 2021,17:20
scrappydoo,703,199.19,97.66%,204.79,92.15%,20 May 2021,22:38
XXXandBEER,704,199.19,97.30%,206.39,26.57%,31 Jan 2021,19:29
gerardxvii,705,199.18,100.00%,199.18,93.86%,16 Oct 2023,23:46
ileeshim,706,199.18,100.00%,199.18,93.11%,29 Jul 2021,02:06
